# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
2499457,690,-140,713,-48,288,-363
2504721,693,-137,712,-48,280,-367
2510305,688,-138,707,-48,280,-367
2515570,694,-139,712,-48,280,-367
2520834,690,-139,709,-48,280,-367
2526098,692,-136,712,-48,280,-367
2531362,691,-138,712,-48,280,-367
2536627,688,-139,709,-48,280,-367
2541892,692,-139,711,-48,280,-367
2547157,689,-136,712,-48,280,-367
2552421,689,-139,710,-48,280,-367
2557686,691,-139,711,-48,280,-367
2562950,693,-138,711,-48,280,-367
2568214,693,-140,707,-48,280,-367
2573478,689,-137,711,-48,280,-367
2578742,690,-136,711,-48,280,-367
2584007,694,-139,709,-48,280,-367
2589271,693,-140,709,-48,280,-367
2594754,690,-140,707,-48,280,-367
2600018,692,-139,711,-48,280,-367
2605282,693,-140,714,-48,280,-367
2610547,690,-140,711,-48,280,-367
2615812,691,-139,711,-48,280,-367
2621077,694,-139,712,-48,280,-367
2626343,690,-141,709,-48,280,-367
2631608,691,-141,711,-48,280,-367
2636873,691,-140,710,-48,280,-367
2642138,690,-137,707,-48,284,-367
2647719,690,-139,708,-48,284,-367
2652984,689,-137,711,-48,284,-367
2658248,689,-139,710,-48,284,-367
2663513,693,-140,709,-48,284,-367
2668778,693,-142,709,-48,284,-367
2674043,690,-140,710,-48,284,-367
2679307,692,-140,714,-48,284,-367
2684572,691,-139,713,-48,284,-367
2689836,691,-139,709,-48,284,-367
2695319,695,-141,710,-48,284,-367
2700584,693,-139,711,-48,284,-367
2705848,692,-138,710,-48,284,-367
2711113,695,-139,713,-48,284,-367
2716378,691,-137,708,-48,284,-367
2721643,692,-139,711,-48,284,-367
2726908,691,-139,711,-48,284,-367
2732173,690,-136,707,-48,284,-367
2737437,692,-140,710,-48,284,-367
2742702,692,-137,711,-48,284,-367
2747967,692,-138,712,-48,284,-367
2753232,694,-139,709,-48,284,-367
2758496,691,-139,709,-48,284,-367
2763760,690,-137,713,-48,284,-367
2769025,691,-140,711,-48,284,-367
2774291,691,-139,712,-48,284,-367
2779556,689,-137,715,-48,284,-367
2784821,692,-136,711,-39,284,-367
2790403,690,-139,709,-39,284,-367
2795887,690,-138,712,-39,284,-367
2801151,691,-139,710,-39,284,-367
2806416,692,-140,712,-39,284,-367
2811680,690,-137,709,-39,284,-367
2816945,694,-140,708,-39,284,-367
2822210,693,-139,707,-39,284,-367
2827474,693,-140,710,-39,284,-367
2832739,693,-138,714,-39,284,-367
2838004,693,-139,710,-39,284,-367
2843268,690,-141,711,-39,284,-367
2848532,693,-138,709,-39,284,-367
2853797,691,-138,707,-39,284,-367
2859062,690,-139,710,-39,284,-367
2864325,690,-138,710,-39,284,-367
2869590,688,-142,710,-39,284,-367
2874855,691,-138,709,-39,284,-367
2880119,692,-135,710,-39,284,-367
2885384,692,-141,710,-39,284,-367
2890866,692,-137,709,-39,284,-367
2896132,693,-139,710,-39,284,-367
2901396,692,-142,710,-39,284,-367
2906660,689,-138,710,-39,284,-367
2911925,692,-135,708,-39,284,-367
2917189,691,-140,713,-39,284,-367
2922453,691,-138,710,-39,284,-367
2927718,689,-139,710,-35,293,-367
2933301,692,-140,712,-35,293,-367
2938566,691,-139,708,-35,293,-367
2943831,690,-138,710,-35,293,-367
2949095,692,-138,710,-35,293,-367
2954360,692,-139,710,-35,293,-367
2959624,691,-139,710,-35,293,-367
2964890,691,-138,708,-35,293,-367
2970154,691,-139,712,-35,293,-367
2975418,691,-140,711,-35,293,-367
2980682,692,-139,707,-35,293,-367
2985948,692,-140,712,-35,293,-367
2991431,691,-140,710,-35,293,-367
2996696,693,-136,711,-35,293,-367
3001961,691,-141,712,-35,293,-367
3028456,691,-139,709,-35,293,-367
3033720,692,-139,710,-35,293,-367
3038985,691,-140,710,-35,293,-367
3044249,694,-140,711,-35,293,-367
3049513,689,-139,712,-35,293,-367
3054778,691,-137,707,-35,293,-367
3060043,693,-141,709,-35,293,-367
3065307,692,-141,711,-48,284,-367
3070889,694,-140,710,-48,284,-367
3076153,690,-140,709,-48,284,-367
3081418,692,-137,710,-48,284,-367
3086903,689,-139,710,-48,284,-367
3092167,693,-136,709,-48,284,-367
3097431,692,-142,708,-48,284,-367
3102696,690,-136,711,-48,284,-367
3107960,694,-138,711,-48,284,-367
3113224,693,-140,710,-48,284,-367
3118488,692,-137,711,-48,284,-367
3123753,693,-138,710,-48,284,-367
3129018,693,-138,710,-48,284,-367
3134282,690,-139,710,-48,284,-367
3139547,692,-141,711,-48,284,-367
3144811,690,-139,712,-48,284,-367
3150076,694,-140,710,-48,284,-367
3155340,694,-139,710,-48,284,-367
3160605,691,-139,709,-48,284,-367
3165870,695,-139,712,-48,284,-367
3171134,691,-141,711,-48,284,-367
3176399,689,-139,712,-48,284,-367
3181663,691,-141,708,-48,284,-367
3187146,690,-139,711,-48,284,-367
3192411,694,-139,711,-48,284,-367
3197675,694,-141,709,-48,284,-367
3202941,688,-139,710,-48,284,-367
